date,category,payment_mode,description,amount_paid,cashback
2024-03-23,Gifts,UPI,Democrat outside more.,2796.1,44.05
2024-03-13,Entertainment,Debit Card,Never receive.,3403.3,0.0
2024-03-24,Food,Credit Card,Trouble speak write.,4723.65,0.0
2024-03-10,Transport,Debit Card,National.,245.32,0.0
2024-03-14,Travel,Net Banking,Short sit.,4881.05,0.0
2024-03-24,Bills,Credit Card,By.,3363.98,0.0
2024-03-15,Entertainment,Cash,Morning perform.,4279.68,133.47
2024-03-02,Entertainment,Cash,Late effort.,4536.86,0.0
2024-03-27,Shopping,Debit Card,Result probably.,2985.6,0.0
2024-03-27,Transport,Cash,Fall beautiful to.,1896.2,0.0
2024-03-14,Gifts,Cash,Magazine your.,3363.56,0.0
2024-03-01,Gifts,UPI,Election shake glass.,2422.24,0.0
2024-03-19,Travel,Cash,Green already thing.,3456.75,0.0
2024-03-17,Gifts,Cash,Hit final.,2846.94,0.0
2024-03-06,Shopping,Net Banking,Him.,1198.26,0.0
2024-03-27,Gifts,Cash,Sister.,4200.64,0.0
2024-03-20,Transport,Debit Card,Recognize claim admit.,2021.43,0.0
2024-03-08,Gifts,Debit Card,Read quality.,994.91,0.0
2024-03-27,Food,Debit Card,Speak test.,782.62,0.0
2024-03-17,Bills,Credit Card,Risk turn medical.,1005.77,0.0
2024-03-27,Travel,Net Banking,Least argue.,3227.91,44.41
2024-03-27,Transport,Net Banking,Throw charge some.,314.47,0.0
2024-03-03,Gifts,Cash,Middle there wrong.,2105.28,0.0
2024-03-24,Food,UPI,Professor another look.,4057.27,0.0
2024-03-07,Gifts,Net Banking,Tend past sometimes.,4416.11,39.19
2024-03-09,Gifts,Debit Card,Four especially great.,1448.04,0.0
2024-03-03,Bills,Credit Card,Degree fall condition.,314.58,0.0
2024-03-15,Shopping,UPI,Hold generation else.,325.68,62.81
2024-03-10,Shopping,Debit Card,Inside.,3753.5,54.03
2024-03-20,Entertainment,Debit Card,Head likely.,2912.6,135.07
2024-03-19,Shopping,Debit Card,Plan name.,2706.93,0.0
2024-03-17,Gifts,Credit Card,Reason human chance.,57.28,136.58
2024-03-26,Food,Cash,Box heavy.,838.24,0.0
2024-03-16,Food,Credit Card,Over.,1481.73,0.0
2024-03-21,Food,Net Banking,Class meeting to.,2814.64,0.0
2024-03-24,Shopping,Credit Card,Push change manager.,3098.07,55.39
2024-03-17,Bills,UPI,Collection hair administration.,2574.47,0.0
2024-03-19,Bills,Debit Card,Movie couple.,4043.68,0.0
2024-03-08,Transport,Debit Card,Little common black.,137.27,0.0
2024-03-22,Bills,Net Banking,Argue late past.,714.24,0.0
2024-03-22,Bills,Credit Card,Cause body.,992.79,0.0
2024-03-19,Food,Debit Card,Participant large eye ability.,2475.83,0.0
2024-03-25,Travel,Net Banking,Different.,85.56,0.0
2024-03-03,Gifts,Credit Card,Out Mrs.,1801.76,0.0
2024-03-20,Gifts,Credit Card,First.,2404.96,0.0
2024-03-06,Shopping,Credit Card,Difficult firm.,4633.93,115.32
2024-03-14,Transport,UPI,Parent center food.,1975.54,0.0
2024-03-10,Food,Debit Card,Go.,2810.89,0.0
2024-03-08,Transport,Credit Card,Move assume indicate.,928.07,0.0
2024-03-09,Entertainment,Debit Card,Her.,4536.18,0.0
2024-03-19,Transport,Cash,City change.,1611.67,174.42
2024-03-11,Entertainment,Debit Card,Here group.,4985.47,0.0
2024-03-26,Food,UPI,Response agency stage.,1763.52,0.0
2024-03-04,Transport,Debit Card,Wait candidate suggest.,1200.43,0.0
2024-03-11,Gifts,Cash,Onto meet at.,1778.24,85.44
2024-03-26,Gifts,UPI,Agent stop.,1450.17,0.0
2024-03-17,Bills,Credit Card,Quality score party.,1671.1,0.0
2024-03-08,Transport,Net Banking,Early participant.,3156.06,0.0
2024-03-25,Gifts,Debit Card,Beyond including yard.,4431.11,0.0
2024-03-04,Travel,Net Banking,Relationship might order.,1022.4,0.0
2024-03-25,Travel,Debit Card,Four course.,3021.54,163.34
2024-03-04,Shopping,Cash,Know something beautiful build.,3639.43,0.0
2024-03-25,Entertainment,Credit Card,Own third herself.,692.09,115.41
2024-03-10,Food,Cash,Degree local team.,1100.72,0.0
2024-03-26,Shopping,Net Banking,Suddenly visit media.,4311.16,0.0
2024-03-24,Food,Credit Card,Wish simple.,3770.91,0.0
2024-03-02,Travel,Credit Card,Such try his.,443.82,0.0
2024-03-05,Travel,Credit Card,History focus my.,2533.92,145.79
2024-03-21,Transport,UPI,Them the serious.,4052.73,0.0
2024-03-19,Food,Cash,Defense assume.,4031.7,0.0
2024-03-22,Food,Credit Card,Them role protect.,1281.33,0.0
2024-03-05,Gifts,Debit Card,Reach rate.,3699.94,178.73
2024-03-06,Gifts,Debit Card,However how.,1531.5,0.0
2024-03-03,Food,Cash,Teach he analysis.,1076.96,0.0
2024-03-24,Travel,Cash,Pull plan security item.,1820.87,0.0
2024-03-17,Entertainment,Net Banking,Fish dinner.,4971.85,0.0
2024-03-05,Shopping,Debit Card,Issue daughter fill.,3535.51,0.0
2024-03-16,Bills,Cash,Writer that.,3362.15,164.02
2024-03-02,Bills,UPI,Party will people.,2118.56,0.0
2024-03-02,Shopping,Cash,Science shoulder sit.,4503.16,0.0
2024-03-04,Transport,Debit Card,Above father.,1760.35,0.0
2024-03-15,Food,Credit Card,Hit just.,200.53,0.0
2024-03-17,Travel,UPI,Country college.,2404.13,0.0
