date,category,payment_mode,description,amount_paid,cashback
2024-09-11,Transport,Debit Card,In a different.,941.05,0.0
2024-09-10,Transport,Net Banking,Wish upon bill.,3765.41,0.0
2024-09-18,Food,Credit Card,Dark lot.,3297.52,0.0
2024-09-04,Shopping,UPI,Democrat picture.,1239.27,0.0
2024-09-13,Food,Net Banking,Peace oil voice.,419.98,0.0
2024-09-21,Transport,Debit Card,People sign gun very.,2922.06,0.0
2024-09-13,Bills,UPI,Available.,1434.8,32.92
2024-09-25,Transport,Credit Card,Kid child sea close.,236.97,0.0
2024-09-23,Shopping,Net Banking,Organization far.,2854.92,149.91
2024-09-20,Gifts,UPI,Along teach.,1071.33,0.0
2024-09-02,Food,Net Banking,Before already democratic.,3820.79,0.0
2024-09-16,Food,Credit Card,Eye war.,3896.03,0.0
2024-09-07,Food,UPI,As mouth.,337.34,85.89
2024-09-08,Bills,Debit Card,Participant.,4680.59,0.0
2024-09-27,Travel,Debit Card,Because hit.,390.18,0.0
2024-09-22,Food,Cash,Friend material.,3499.05,0.0
2024-09-15,Shopping,UPI,Market attention staff.,4184.73,0.0
2024-09-12,Transport,Credit Card,Seat read late.,1061.36,0.0
2024-09-02,Food,Net Banking,Perform store style.,4650.87,0.0
2024-09-21,Transport,UPI,Blood amount.,1883.59,0.0
2024-09-04,Transport,Credit Card,Six.,2870.82,64.76
2024-09-05,Travel,Net Banking,I market let.,3383.97,0.0
2024-09-15,Shopping,Cash,Agreement else lawyer.,2237.56,0.0
2024-09-02,Gifts,Cash,Yard firm television.,3261.92,76.87
2024-09-13,Entertainment,Cash,Fire American.,1630.59,183.52
2024-09-19,Bills,Debit Card,Too discover.,1046.12,0.0
2024-09-21,Travel,Credit Card,Writer religious black.,426.93,106.77
2024-09-24,Entertainment,Cash,Return present.,263.96,0.0
2024-09-07,Food,Net Banking,Free shoulder step other.,992.74,0.0
2024-09-17,Transport,Net Banking,Require hundred.,1284.5,0.0
2024-09-18,Gifts,Credit Card,Major.,4222.69,0.0
2024-09-24,Gifts,Cash,Ten such again.,2893.76,198.28
2024-09-18,Travel,UPI,Hour simple.,2483.99,190.1
2024-09-23,Shopping,Debit Card,Pressure nature establish.,470.32,8.95
2024-09-26,Shopping,Net Banking,Civil school ball.,690.13,0.0
2024-09-27,Gifts,Net Banking,Off early part.,4218.38,0.0
2024-09-21,Shopping,Cash,Instead special carry since.,554.24,0.0
2024-09-27,Travel,Debit Card,Trip.,4695.24,0.0
2024-09-07,Bills,Debit Card,Expect debate both.,2916.41,0.0
2024-09-18,Bills,Cash,Enter present real.,1890.03,0.0
2024-09-07,Shopping,UPI,Sure letter teacher.,1571.63,0.0
2024-09-22,Travel,Credit Card,Form arrive.,2166.29,0.0
2024-09-09,Gifts,Net Banking,Security.,4031.47,0.0
2024-09-21,Bills,Net Banking,Community common head.,989.91,0.0
2024-09-02,Shopping,Credit Card,Effect writer quite.,2147.2,0.0
2024-09-14,Entertainment,Cash,Play.,2693.45,0.0
2024-09-02,Travel,Cash,Reason name chair.,4433.68,75.72
2024-09-02,Transport,Cash,A pretty bill.,4642.51,0.0
2024-09-14,Food,Cash,Heart better old.,4249.81,0.0
2024-09-15,Bills,Debit Card,Interview very father.,3874.25,0.0
2024-09-07,Bills,Cash,More compare.,1569.06,60.6
2024-09-05,Food,Cash,Leg stay travel.,743.28,0.0
2024-09-01,Bills,UPI,Sure television.,4250.97,0.0
2024-09-07,Entertainment,Cash,So pretty compare.,4384.18,0.0
2024-09-07,Food,Cash,Need space participant.,3555.1,0.0
2024-09-06,Entertainment,Debit Card,Eat sound I.,928.75,0.0
2024-09-09,Shopping,Cash,Soon they.,3995.97,0.0
2024-09-12,Transport,Net Banking,Type doctor without hard.,1331.03,0.0
2024-09-26,Transport,Credit Card,Pay someone series.,1003.57,0.0
2024-09-15,Transport,UPI,Evidence direction.,745.49,0.0
2024-09-19,Transport,Cash,Discussion house occur.,1485.48,0.0
2024-09-06,Bills,Cash,Military new.,4917.13,0.0
2024-09-26,Gifts,Debit Card,Address memory establish.,1779.75,0.0
2024-09-17,Shopping,UPI,Check special.,4664.01,0.0
2024-09-12,Bills,Credit Card,Off partner.,2753.01,9.14
2024-09-13,Entertainment,UPI,Opportunity need dog.,4760.97,0.0
2024-09-11,Bills,UPI,Way easy every girl.,2409.46,78.81
2024-09-26,Shopping,UPI,Recent film.,193.21,185.37
2024-09-23,Gifts,Debit Card,Its opportunity region.,387.57,0.0
2024-09-26,Food,Credit Card,Measure somebody marriage.,2078.24,0.0
2024-09-02,Entertainment,Debit Card,Former million.,2497.79,0.0
2024-09-10,Gifts,Net Banking,Between yes long.,2494.69,0.0
2024-09-22,Gifts,Credit Card,Quickly give floor pretty.,517.16,0.0
2024-09-18,Transport,Net Banking,Attack family room.,134.7,26.83
2024-09-11,Entertainment,Credit Card,His unit.,129.67,0.0
2024-09-14,Food,Net Banking,Happy college mission.,3959.45,0.0
2024-09-06,Travel,Cash,Explain would eye.,3284.04,0.0
2024-09-14,Entertainment,UPI,Close government democratic.,3052.89,0.0
2024-09-25,Entertainment,UPI,Trade food rate.,490.47,0.0
2024-09-21,Travel,Net Banking,Sort agency amount.,1397.24,0.0
2024-09-02,Transport,Credit Card,Stop image.,2118.2,0.0
2024-09-21,Transport,Debit Card,Environmental.,1830.87,111.0
2024-09-07,Travel,Cash,Stop build president chair.,4020.6,0.0
2024-09-07,Shopping,Credit Card,Several.,4535.78,156.71
2024-09-15,Shopping,Net Banking,Per vote side with.,1642.2,0.0
2024-09-02,Food,Net Banking,Much fight give.,3007.64,0.0
2024-09-13,Bills,Cash,Art sign.,1825.79,0.0
2024-09-09,Bills,Credit Card,Where.,3999.36,0.0
2024-09-27,Transport,Net Banking,Team community into.,76.29,0.0
2024-09-02,Food,Credit Card,Pm begin.,3464.01,0.0
2024-09-06,Travel,Net Banking,Dog.,1771.6,0.0
2024-09-08,Entertainment,Debit Card,Any cold.,4637.27,0.0
2024-09-02,Bills,Cash,Compare security.,1909.26,0.0
2024-09-01,Food,UPI,Painting act bring.,3010.08,0.0
2024-09-07,Shopping,UPI,Visit report lot.,1996.16,0.0
2024-09-24,Travel,Cash,Old as water.,703.79,0.0
2024-09-26,Entertainment,UPI,Marriage arrive why.,4200.39,0.0
2024-09-04,Gifts,Net Banking,Age similar.,305.8,0.0
2024-09-14,Food,Debit Card,Skin speech.,1294.13,0.0
2024-09-02,Travel,Debit Card,Candidate stage.,2343.59,0.0
2024-09-27,Entertainment,Cash,Wall eat.,4820.67,0.0
2024-09-16,Bills,Credit Card,Local process picture.,3942.77,0.0
