date,category,payment_mode,description,amount_paid,cashback
2024-11-01,Transport,Credit Card,Seven baby child.,4956.5,0.0
2024-11-12,Travel,Cash,Budget try.,3729.29,0.0
2024-11-23,Transport,Cash,Project bag game close.,2243.02,0.0
2024-11-15,Entertainment,Credit Card,Security election a.,3212.36,67.16
2024-11-10,Travel,Credit Card,Myself himself.,244.71,0.0
2024-11-20,Travel,Cash,Strong wish political admit.,1451.89,122.44
2024-11-06,Bills,Credit Card,Try imagine five.,2988.03,0.0
2024-11-24,Entertainment,Cash,Several five computer.,125.03,0.0
2024-11-02,Entertainment,Credit Card,Against build necessary.,2687.62,0.0
2024-11-10,Transport,Debit Card,Stay start live.,4175.18,0.0
2024-11-23,Entertainment,Debit Card,Southern remember certain.,4199.28,0.0
2024-11-05,Food,UPI,Sense difficult poor.,2488.01,0.0
2024-11-19,Bills,Net Banking,With treatment.,389.17,55.49
2024-11-06,Entertainment,Debit Card,Computer class newspaper.,3316.8,0.0
2024-11-22,Food,Credit Card,Glass travel easy into.,513.31,0.0
2024-11-05,Gifts,Net Banking,All off mission.,473.51,0.0
2024-11-26,Shopping,Net Banking,Door bed head.,514.16,0.0
2024-11-14,Travel,Debit Card,Note party two.,4936.65,92.77
2024-11-15,Gifts,Debit Card,Sing source.,4709.3,0.0
2024-11-22,Transport,Cash,Name assume picture.,4781.52,0.0
2024-11-27,Bills,Cash,Art organization.,2232.3,0.0
2024-11-05,Transport,Net Banking,Case.,3873.35,0.0
2024-11-22,Travel,Debit Card,Pressure economic energy.,4490.71,197.94
2024-11-24,Transport,Cash,Enough begin environment.,447.95,0.0
2024-11-03,Transport,Debit Card,Fish system place occur.,3815.99,0.0
2024-11-15,Travel,Net Banking,Discussion put center.,79.59,0.0
2024-11-19,Transport,Net Banking,Protect ok.,4012.12,0.0
2024-11-14,Food,Credit Card,Least issue prevent.,1981.45,0.0
2024-11-14,Entertainment,Cash,Early main.,1028.51,0.0
2024-11-14,Shopping,UPI,Shake if trial meeting.,2003.88,124.08
2024-11-13,Bills,Debit Card,A tonight.,4269.66,111.1
2024-11-16,Gifts,Debit Card,Mrs almost mouth.,3012.94,0.0
2024-11-24,Bills,UPI,Report.,1689.72,0.0
2024-11-17,Entertainment,Cash,Economy chair.,169.69,0.0
2024-11-14,Entertainment,Net Banking,Perform right.,205.24,0.0
2024-11-09,Shopping,Cash,Party minute.,1464.82,0.0
2024-11-25,Food,UPI,Join former word team.,4706.51,195.93
2024-11-06,Entertainment,Credit Card,Be occur.,1816.14,21.11
2024-11-07,Transport,Debit Card,Left respond both power.,2299.67,0.0
2024-11-03,Bills,Credit Card,Yourself space research.,4696.47,0.0
2024-11-10,Transport,Debit Card,Stop rich.,3391.91,0.0
2024-11-02,Food,Net Banking,Lay even.,2365.5,0.0
2024-11-07,Bills,Debit Card,Clearly green laugh.,2478.97,0.0
2024-11-17,Transport,Cash,Far plant whole.,3401.82,0.0
2024-11-09,Travel,Credit Card,Hope especially.,1561.41,0.0
2024-11-10,Shopping,Net Banking,Analysis pressure.,3360.47,0.0
2024-11-01,Entertainment,Net Banking,Walk.,1654.57,0.0
2024-11-19,Transport,Cash,In hold such.,3214.78,0.0
2024-11-17,Food,Net Banking,Own how strategy agree.,3257.61,127.12
2024-11-06,Bills,Net Banking,Wish become.,1365.83,0.0
2024-11-07,Entertainment,Debit Card,Produce authority.,3497.73,0.0
2024-11-22,Shopping,Credit Card,Population late ground.,2290.76,0.0
2024-11-27,Gifts,Credit Card,Sign reduce.,3695.82,0.0
2024-11-18,Entertainment,Debit Card,During food watch.,691.04,0.0
2024-11-24,Gifts,Debit Card,Describe provide.,1065.42,0.0
2024-11-16,Shopping,Debit Card,Specific full.,4367.23,0.0
2024-11-25,Shopping,Debit Card,Story house.,654.66,0.0
2024-11-01,Shopping,UPI,Vote but.,594.19,126.92
2024-11-27,Bills,Net Banking,Product least.,3212.5,0.0
2024-11-10,Transport,Net Banking,Report house family arm.,1770.18,0.0
2024-11-21,Transport,Debit Card,Though environmental couple.,4285.3,0.0
2024-11-14,Food,Cash,Foot hundred production.,1453.66,0.0
2024-11-03,Food,Credit Card,Nothing type court.,1635.45,0.0
2024-11-17,Bills,Cash,Term none whatever.,3197.27,0.0
2024-11-22,Transport,UPI,Half open.,1191.86,0.0
2024-11-02,Gifts,UPI,Modern prepare.,1351.32,0.0
2024-11-25,Gifts,Credit Card,Box artist yeah your.,4060.8,0.0
2024-11-24,Bills,UPI,Want attack lay.,2077.59,0.0
2024-11-02,Food,Cash,Someone.,4110.68,0.0
2024-11-08,Gifts,Cash,Vote.,1763.61,93.76
2024-11-19,Entertainment,Net Banking,Treatment design admit.,104.18,0.0
